product_name	brand	category	subcategory	price	image1_path	alt1_text	color	model_number	product_description
Kindle Paperwhite	Amazon	computers	tablets	59.99	/prodImg/computers/tablets/kindle.jpg	Picture of Kindle Paperwhite	black	KPW11	Kindle Paperwhite (8 GB) - Now with a 6.8 inch display and adjustable warm light - Ad-Supported
2021 iPad 10.2 inch	Apple	computers	tablets	429.99	/prodImg/computers/tablets/ipad.jpg	Picture of Apple iPad ten point two inch silver	silver 	B09G9CJM1Z	Gorgeous 10.2-inch Retina display with True Tone A13 Bionic chip with Neural Engine 8MP Wide back camera, 12MP Ultra Wide front camera with Center Stage
Samsung Galaxy Tab A8 10.5 inch	Samsung	computers	tablets	229.99	/prodImg/computers/tablets/samsung.jpg	Picture of ten point five inch samsung galaxy tab A eight	silver 	SM-X200NZSAXAR	Whether your family is streaming or video chatting with friends, the Galaxy Tab A8 tablet brings out the best in every moment on a 10.5 inch LCD screen
2021 Macbook Pro 14 inch	Apple	computers	laptops	1999.00	/prodImg/computers/laptops/macbook.jpg	Picture of fourteen inch twenty twenty-one macbook pro	space grey	MKGT3LL/A	Apple M1 Pro or M1 Max chip for a massive leap in CPU, GPU, and machine learning performance Up to 10-core CPU delivers up to 3.7x faster performance to fly through pro workflows quicker than ever. Up to 32-core GPU with up to 13x faster performance for graphics-intensive apps and games 16-core Neural Engine for up to 11x faster machine learning performance.
Galaxy Book Pro	Samsung	computers	laptops	1159.00	/prodImg/computers/laptops/samsung.jpg	Picture of Samsung Galaxy Book Pro	mystic blue	NP950XDB-KC3US	The First 13.3 inch/15.6” Amoled Screen In A Galaxy Book; Enjoy Vibrant Viewing While You Work Or School Inside Or In Direct Sunlight, And It Lessens Eye Strain By Reducing Harmful Blue Light
Pixelbook Pro	Google	computers	laptops	997.86	/prodImg/computers/laptops/google.jpg	Picture of Google Pixelbook Pro	black	GA00523-US	Pixelbook Go starts up in seconds and makes working a breeze. The 8th Gen Intel Core Processor is quick and responsive powering everything you do. And Chrome OS doesn't slow down over time so it always feels like new.
XPS 13	Dell	computers	laptops	1692.99	/prodImg/computers/laptops/dell.jpg	Picture of Dell XPS 13	silver 	XPS9310-7422SLV-PUS	The XPS 9310 thin laptop is built with Wi-Fi 6 techology, the AX1650 prioritizes streaming video, communication, and game traffic in your system for fast, smooth online experiences
ThinkPad X1 Carbon	Lenovo	computers	laptops	1780.00	/prodImg/computers/laptops/lenovo.jpg	Picture of Lenovo Thinkpad X one carbon	black	20U9005MUS	Tested against 12 military-grade requirements from the Arctic wilderness to desert dust storms, from zero gravity to spills and drops, you can trust this laptop to handle whatever life throws your way.
Halo 2.0	TJJ	computers	desktops	1199.00	/prodImg/computers/desktops/tjj.jpg	Picture of TJJ Halo two point zero gaming desktop	black	TJJHALO2.0	This powerful gaming PC is capable of running all your favorite games at High to Ultra settings, crisp 1080p FHD resolution and smooth 60+ FPS game play.
Nitro 50	Acer	computers	desktops	829.99	/prodImg/computers/desktops/acer.jpg	Picture of Acer Nitro fifty desktop computer	black	DG.E2HAA.004	Upgrade rollout plan is being finalized and is scheduled to begin late in 2021 and continue into 2022. Specific timing will vary by device. Certain features require specific hardware
Gamer Xtreme VR	CYBERRPOWERPC	computers	desktops	1199.99	/prodImg/computers/desktops/cppc.jpg	Picture of Cyber Power Pc Gamer Extreme Virtual Reality Desktop	black	GXiVR8480A11	Intel Core i5-11600KF 3.9GHz 6-Core | Intel B560 Chipset | 16GB DDR4 | 500GB PCI-E NVMe SSD | 1TB HDD | Genuine Windows 11 Home 64-bit
Aurora A13	Alienware	computers	desktops	2429.09	/prodImg/computers/desktops/alien.jpg	Picture of Alienware Aurora A thirteen Desktop	white	AWAUR13-7726WHT-PUS	Introducing our first Alienware Cryo-tech enabled gaming desktop. Featuring a larger, evolved chassis for enhanced airflow and quieter performance.
Blacklight - Blu-ray/DVD	New Releases	moviemusic	movies	24.99	/prodImg/moviemusic/movies/Blacklight_1.jpg	Picture of Blacklight DVD 			It includes a Blu-ray/DVD - An action film following covert government operative Travis Block.
The Outfit - Blu-ray	New Releases	moviemusic	movies	24.99	/prodImg/moviemusic/movies/TheOutfit_1.jpg	Picture of The Outfit DVD			It includes a digital copy, Blu-ray. It is a crime drama movie released in 2022 and runs for 105 minutes
Turning Red - Blu-ray/DVD	New Releases	moviemusic	movies	24.99	/prodImg/moviemusic/movies/TurningRed_1.jpg	Picture of Turning Red DVD			It includes a Digital Copy, 4K Ultra HD Blu-ray. It is a comedy, animated Walt Disney movie released in 2022
Dinosaur World - Blu-ray	New Releases	moviemusic	movies	17.99	/prodImg/moviemusic/movies/DinosaurWorld_1.jpg	Picture of Dinosaur World DVD			It is a Blu-ray format. In this movie, the best players from around the world are gathered to be lab rats in a new game
Ocean's 8 - SteelBook	Steelbook	moviemusic	movies	22.99	/prodImg/moviemusic/movies/Oceans8_1.jpg	Picture of Oceans 8 Steelbook			This includes a steelbook, 4K HD Blu-ray. It is a action/comedy movie released in 2018
Wonder Woman 1984 - SteelBook	Steelbook	moviemusic	movies	27.99	/prodImg/moviemusic/movies/WonderWoman_1.jpg	Picture of Wonder Woman 1984 Steelbook			It includes a SteelBook, Digital Copy, 4K Ultra HD Blu-ray. This fantasy, super-hero movie was released in 2020
The Hunger Games: SteelBook Collection	Steelbook	moviemusic	movies	89.99	/prodImg/moviemusic/movies/TheHungerGames_1.jpg	Picture of The Hunger Games CD			The ultimate SteelBook collection, Digital Copy, 4K Ultra HD Blu-ray format
100 Songs Latin	International music	moviemusic	music	19.99	/prodImg/moviemusic/music/100SongsLatin_1.jpg	Picture of 100 Songs CD cover			Brazilian music, Bossa nova, Latin dance music, salsa, bachata, merengue, Kizomba & Latin jazz [4CD]
Best of Caribbean Music	International music	moviemusic	music	14.99	/prodImg/moviemusic/music/BestOfCarribeanMusic_1.jpg	Picture of Best of Carribean Music CD 			From steel pan music to calypso, and from merengue to salsa and Latin-jazz, feel the irresistibly danceable rhythms of these feel-good songs from around the Caribbean.
Fred Astaire: Songs From the Movies 1930s & 40s	International music	moviemusic	music	16.00	/prodImg/moviemusic/music/FredAstaire_1.jpg	Picture of Fred Astaire CD 			This CD features 25 wonderful songs from Fred Astaire's greatest movies. Astaire introduced more great classic songs than any other performer.
Scottish Top 20 Songs	International music	moviemusic	music	13.99	/prodImg/moviemusic/music/ScottishTop20Songs_1.jpg	Picture of Scottish Top 20 Songs 			A compilation of the most popular songs from Scotland's traditional folk made popular worldwide by Scottish music ambassadors!
Beethoven: Complete Piano Concertos	Classical	moviemusic	music	94.47	/prodImg/moviemusic/music/BeethovenPianoConcert_1.jpg	Picture of Beethoven Piano Concert CD			Beethoven: Piano Concertos is available in a limited release that includes three SA-CD discs, one Blu-ray audio disc, and one Blu-ray video disc
Mahler: 10 Symphonies	Classical	moviemusic	music	43.65	/prodImg/moviemusic/music/Mahler_1.jpg	Picture of Mahler 10 Symphonies 			Half a century after release, Rafael Kubel¡k's recordings of Mahler's symphonies still remain reference recordings of the repertoire
Verdi: Macbeth	Classical	moviemusic	music	31.49	/prodImg/moviemusic/music/VerdiMacbeth_1.jpg	Picture of Verdi Macbeth CD			2-CDs + Blu-ray Audio disc deluxe hardback edition presenting Claudio Abbado's glorious 1976 recording of Verdi's Macbeth
